#{"t_start": 1781167131.9304278, "env_id": "None"}
r,l,t
-1.072344,300,894.431442
53.950374,165,894.97291
2.49042,300,895.938711
1.700862,300,898.295473
53.577896,159,898.795035
53.190034,154,899.261509
53.541016,174,899.828183
52.851683,228,900.665563
52.913968,155,901.204714
54.130836,141,903.992881
-1.526703,300,906.391689
2.994229,300,907.356933
2.146148,300,908.344874
1.971428,300,909.36382
-1.258292,300,911.577556
-1.316981,300,912.495177
-1.277971,300,915.719413
-1.174402,300,916.613714
-1.383831,300,918.952251
53.792743,158,919.347814
-1.757741,300,920.178511
-1.212973,300,920.991021
52.684991,213,921.481371
-1.555273,300,923.917684
-1.231756,300,927.032864
52.753747,201,927.598666
53.539581,181,928.201612
-1.294858,300,929.174953
-1.295762,300,931.507225
53.638114,234,932.199452
2.393626,300,933.216359
53.514553,172,933.777737
-1.3723,300,936.932336
3.284381,300,939.222904
0.821669,300,940.055053
1.732823,300,941.175016
-1.680203,300,942.100346
2.933708,300,944.466533
2.705971,300,945.319236
53.946827,147,948.01389
52.825657,168,948.448105
-3.408388,300,949.353612
-1.033646,300,951.602205
-2.11032,300,952.437967
52.184514,203,953.060521
3.141509,300,954.01574
52.741061,163,954.474318
2.144442,300,959.160831
-2.012045,300,960.072204
-1.226956,300,960.930793
1.992275,300,961.930117
-1.647831,300,964.405327
-1.992445,300,965.237981
2.05437,300,966.037409
54.010814,150,966.524213
54.123018,156,969.42756
53.156839,210,970.127945
52.55067,167,972.058203
-2.431165,300,973.156245
53.09445,175,973.693264
53.100918,289,974.681567
-1.714884,300,975.691711
54.007883,157,977.812605
3.345911,300,978.864618
53.029679,148,981.78969
-0.782703,300,982.692175
52.781454,215,983.341132
2.456722,300,985.975774
-1.571707,300,987.035837
-1.751545,300,988.110547
1.766286,300,989.114818
-1.215663,300,993.896932
54.043394,167,994.385396
-2.484552,300,995.289499
0.935802,300,996.250246
52.216094,191,996.847484
-2.005424,300,999.223321
53.767705,158,999.631447
1.491876,300,1000.514129
52.912301,166,1001.064981
54.138471,133,1001.485273
52.150725,179,1004.304153
53.383978,157,1004.739712
52.769464,161,1007.182192
1.731953,300,1008.121911
-0.969944,300,1009.150117
-1.292758,300,1010.227702
-1.457337,300,1011.110732
-1.242056,300,1014.159206
-1.625637,300,1018.326925
1.92456,300,1019.481508
1.806532,300,1020.704027
2.463367,300,1023.362949
-1.258006,300,1024.478102
54.090455,158,1025.069536
-2.200039,300,1026.134727
2.956937,300,1031.19835
-1.430298,300,1032.598531
53.52273,192,1033.107377
3.37331,300,1033.932584
53.542499,155,1034.317248
-1.677752,300,1038.020367
1.602972,300,1038.880787
-1.303946,300,1046.926846
-2.282865,300,1050.720309
53.47506,150,1051.311496
0.75913,300,1053.997604
1.865455,300,1054.803399
3.178057,300,1055.550634
-1.734614,300,1056.555327
-1.551138,300,1059.45035
54.025925,155,1067.932913
2.73322,300,1069.034309
0.695644,300,1070.16548
53.818759,157,1070.893511
2.322143,300,1154.591923
53.249931,152,1155.291404
53.67708,149,1155.825131
-1.55585,300,1157.099181
-2.291685,300,1157.864007
-1.900174,300,1161.452512
52.89211,197,1163.708838
53.862921,139,1164.058988
-1.883527,300,1164.898696
-1.092181,300,1165.970465
53.350596,131,1166.538817
54.070354,154,1167.255653
-1.36347,300,1170.086353
52.915323,159,1170.504998
53.89365,156,1173.74594
-1.827293,300,1174.445213
53.63547,144,1174.848501
53.741296,147,1175.245594
0.637634,300,1178.118333
0.934142,300,1179.545383
-1.232836,300,1180.455633
2.524658,300,1181.641941
50.933369,228,1184.073182
53.725432,155,1186.941351
54.206554,151,1187.523746
54.119394,153,1188.075431
53.253905,181,1188.756829
53.568069,145,1189.188382
-0.843271,300,1190.23277
-1.742764,300,1192.488097
-1.184682,300,1193.581767
-1.299746,300,1194.964122
2.139877,300,1198.464647
53.963531,149,1200.67531
-1.076519,300,1201.84542
-1.096852,300,1202.826775
-2.41992,300,1203.588961
2.032583,300,1204.517213
51.840249,168,1206.513107
-1.15236,300,1207.592861
-1.308345,300,1211.024349
3.437291,300,1211.999894
52.613769,161,1212.47292
1.629612,300,1215.145318
53.787132,161,1215.721398
-1.459964,300,1216.840446
-1.897729,300,1217.874049
3.087175,300,1222.481549
53.750305,203,1223.109293
-1.495089,300,1223.99461
53.705812,172,1224.551604
53.808485,162,1225.066798
-1.719925,300,1225.929995
52.718507,170,1227.693434
53.451764,150,1228.15735
53.919318,160,1228.559827
54.104839,126,1229.00411
-1.965851,300,1232.224736
3.209602,300,1233.026482
54.16176,145,1234.770111
-1.847269,300,1235.485335
3.544573,300,1236.180358
3.088602,300,1236.889508
1.60883,300,1238.903231
53.736138,153,1239.433848
-0.998083,300,1242.521842
-0.961212,300,1243.621642
53.033082,160,1244.144114
54.20589,153,1244.764338
53.399704,159,1245.346849
2.112431,300,1247.574885
1.194673,300,1248.559542
1.861972,300,1249.531408
-1.100248,300,1252.574449
-1.681886,300,1254.794013
-0.928466,300,1255.820792
-1.604583,300,1256.719243
3.040486,300,1257.685988
1.738727,300,1259.97327
53.584333,182,1260.802212
-1.466713,300,1262.034422
2.719269,300,1265.500126
2.66021,300,1268.008099
54.252372,174,1268.603154
-1.217664,300,1269.933294
53.769435,165,1270.366871
2.598476,300,1271.608225
53.691809,152,1272.222462
52.623131,226,1274.436571
-1.12703,300,1277.727979
53.984529,151,1278.190679
-1.671365,300,1279.109163
53.439046,211,1279.71298
2.813363,300,1282.013708
2.48695,300,1282.829254
-1.530083,300,1283.685597
-1.845023,300,1284.552817
53.558954,238,1287.581695
1.327907,300,1289.92014
-1.668646,300,1291.165351
-1.672406,300,1292.151269
53.087636,167,1292.62466
1.42123,300,1294.761716
-2.250975,300,1295.610951
1.81642,300,1298.665745
-1.42929,300,1299.539621
-1.631803,300,1301.860149
53.554176,141,1302.297253
-1.039655,300,1303.222404
-3.037331,300,1304.136296
2.101194,300,1305.00307
-1.337053,300,1307.264751
2.402922,300,1310.65195
54.110501,165,1311.314181
-1.298752,300,1312.359599
-1.760598,300,1313.422761
53.762984,148,1315.296352
2.185416,300,1316.467285
-1.11221,300,1317.67471
-1.629713,300,1321.045363
2.085293,300,1323.682299
2.320752,300,1324.854513
2.844747,300,1325.716789
53.884431,185,1326.31299
52.240826,161,1326.939756
3.124121,300,1329.371203
2.734529,300,1330.60756
-1.333972,300,1333.809206
2.661511,300,1334.917938
-1.234607,300,1336.007356
2.715137,300,1338.420243
-1.14634,300,1339.360262
2.541747,300,1340.136167
54.212962,158,1340.584491
-1.029614,300,1345.072804
54.113538,162,1345.571925
3.181701,300,1346.624293
-2.055559,300,1347.680809
53.914381,155,1348.279254
-1.501031,300,1350.538827
-1.332598,300,1351.468386
53.606931,157,1352.142024
3.411454,300,1353.27735
53.913518,138,1357.197953
-1.054674,300,1360.200446
2.946185,300,1361.789099
53.34732,186,1362.628829
54.038713,175,1363.398067
51.862298,168,1364.288206
52.715959,160,1365.317378
3.427983,300,1368.569448
1.513367,300,1370.294608
52.32742,228,1374.049237
54.113445,212,1375.322266
-1.566386,300,1376.555544
3.149518,300,1379.970851
-2.922451,300,1381.327495
0.846767,300,1382.989316
-1.547681,300,1384.709773
54.077083,151,1388.622703
-1.652945,300,1391.56571
-1.642253,300,1393.059551
-1.911879,300,1394.61725
52.275411,191,1395.589384
53.304736,163,1396.414269
53.784257,177,1398.978694
-1.691639,300,1400.594451
2.381125,300,1402.085824
1.66372,300,1406.292355
53.0712,160,1406.810021
53.893791,160,1408.995441
52.84215,173,1409.794119
54.013929,143,1410.55139
53.28691,174,1411.307497
54.442666,169,1412.203392
-1.226798,300,1413.757885
53.345705,146,1414.447977
54.264686,129,1416.77211
1.880037,300,1420.931715
-1.30482,300,1422.403806
1.480181,300,1423.844749
53.315276,169,1424.66821
53.300132,159,1427.197429
2.309603,300,1428.990713
53.816482,131,1429.725573
1.440501,300,1431.291538
2.975762,300,1435.685263
54.31791,185,1438.150967
2.702145,300,1439.499604
54.083386,264,1440.768662
54.083066,154,1441.448724
54.136469,189,1442.390267
2.456564,300,1443.843641
52.999591,161,1446.124721
-1.555245,300,1447.534668
54.281987,152,1448.395367
53.620298,152,1452.069278
2.445223,300,1453.455582
53.216675,300,1456.57874
-1.251795,300,1458.145542
-1.133073,300,1459.60889
53.463833,138,1460.285311
52.492629,167,1461.111704
1.707999,300,1464.292176
2.691936,300,1468.637376
53.84429,148,1469.143977
-0.592883,300,1470.238029
53.456114,156,1471.017552
53.240831,156,1471.804136
53.438133,241,1474.422153
53.72873,158,1475.245928
-1.744705,300,1476.73098
-0.922149,300,1478.374498
53.5113,181,1482.04215
53.384843,182,1482.91818
54.198921,155,1485.065672
52.348488,179,1485.936705
53.635911,265,1487.438751
53.585944,178,1488.293625
53.114477,144,1488.96256
2.943448,300,1490.704799
-2.856177,300,1493.652023
53.98729,154,1494.360986
-1.819421,300,1498.628726
52.960578,161,1499.491649
53.492144,165,1500.266309
54.070188,147,1500.79931
-1.459423,300,1503.682397
54.015707,155,1504.401693
-2.42967,300,1505.852711
-1.822,300,1507.195089
-1.407706,300,1510.343223
53.337267,200,1514.306159
-1.03397,300,1516.118746
3.217063,300,1517.849603
53.907375,144,1518.694178
52.313095,155,1519.399038
53.88251,175,1521.52089
2.910128,300,1522.838635
-1.769687,300,1524.262424
-1.869541,300,1528.621912
52.174588,159,1529.225215
2.049637,300,1531.94248
53.731252,171,1532.771085
53.376355,164,1533.551189
53.515707,140,1534.140913
54.058047,150,1534.867026
-1.78591,300,1536.254662
52.71621,143,1536.729795
53.510206,195,1538.815402
-1.188334,300,1542.814307
54.133803,146,1543.274848
53.257995,147,1543.787721
-1.352315,300,1544.759203
2.6452,300,1547.471209
53.559586,151,1548.096227
52.359053,166,1548.925519
53.552808,144,1549.587508
54.159193,153,1550.355992
2.445236,300,1551.713139
53.332986,159,1552.432027
53.814804,148,1557.297841
-2.354567,300,1558.724927
-1.15808,300,1560.164759
53.143992,166,1561.020886
-1.927044,300,1562.611467
-1.627992,300,1565.961198
2.701763,300,1568.030097
2.945986,300,1573.231464
53.620604,159,1573.910286
54.273407,148,1574.655348
54.123549,176,1577.172398
-1.518905,300,1578.35941
3.126924,300,1579.881766
2.79316,300,1581.523987
-1.428798,300,1582.923342
54.193098,145,1585.483404
53.74969,160,1586.684577
53.838988,151,1590.711887
53.108577,150,1591.621108
-1.565823,300,1592.949946
-1.379543,300,1594.202425
53.879963,144,1596.25284
53.951513,145,1597.042072
-1.602061,300,1598.690134
53.754514,141,1599.36698
-0.83819,300,1601.060348
54.245303,138,1605.12652
-1.341,300,1608.388327
2.621832,300,1609.808502
-1.018526,300,1611.314013
2.02605,300,1612.623874
53.990216,150,1613.394825
2.562608,300,1616.476014
54.112037,151,1617.230376
53.30405,233,1618.4282
-1.588848,300,1623.463749
-2.01225,300,1624.772505
-1.424388,300,1627.775843
53.153539,135,1628.494338
53.206628,169,1629.237911
53.634438,162,1630.155098
-1.13496,300,1631.543395
1.64423,300,1634.377267
52.283082,154,1637.8523
-2.149482,300,1639.221902
1.694826,300,1640.686288
-1.261024,300,1642.2296
54.125753,142,1644.08441
-0.963561,300,1645.678482
51.767779,264,1646.954232
53.355317,149,1647.804443
54.067692,149,1648.669802
53.490669,161,1652.279189
1.649447,300,1655.401066
53.138988,169,1656.201273
1.51349,300,1657.433722
53.905686,225,1658.84458
2.32158,300,1660.331764
-2.061513,300,1663.085996
0.573628,300,1664.476396
53.626755,162,1668.015736
1.914614,300,1669.716059
-1.576087,300,1671.668161
-1.198915,300,1675.205332
54.152835,156,1676.139527
-1.326813,300,1677.707016
2.389171,300,1679.435096
53.941056,149,1680.543023
2.348544,300,1686.41863
53.178281,150,1686.999585
-1.810528,300,1688.417577
-2.144396,300,1690.146869
53.560199,282,1693.727516
52.961626,146,1694.479857
-1.190754,300,1695.702047
53.888934,160,1696.423707
-1.320371,300,1702.174814
-1.617462,300,1703.936539
53.404778,157,1706.59466
54.24283,165,1707.478646
53.62861,142,1708.281334
53.883338,161,1709.525762
53.433833,154,1710.66158
2.155346,300,1712.489247
53.695141,159,1713.364272
54.099777,156,1715.842706
0.764203,300,1717.658242
-0.777145,300,1722.305021
53.36272,144,1722.848413
-2.000004,300,1724.158167
53.101542,136,1726.786485
53.937864,146,1727.438873
53.394411,166,1728.109711
1.683831,300,1729.494334
2.586907,300,1730.709111
53.364179,228,1732.067921
52.663768,155,1737.89593
52.972911,149,1738.551301
3.199685,300,1739.910016
-1.023231,300,1741.191842
2.736369,300,1742.298197
3.296992,300,1745.375194
53.359472,153,1745.987853
53.457199,162,1746.661558
54.160488,147,1747.215847
53.195468,165,1750.529099
53.451556,131,1750.951489
-1.683377,300,1753.510607
53.436114,206,1754.196955
2.507921,300,1755.195101
-1.204267,300,1756.429175
53.03698,149,1757.02381
-5.262581,300,1759.776414
3.337573,300,1760.825321
2.48958,300,1764.468668
54.261955,163,1765.000893
3.077769,300,1765.92797
53.4447,154,1766.431946
53.193163,147,1768.139571
52.752227,157,1768.623799
54.052383,147,1769.067503
53.960605,134,1769.514629
2.923559,300,1770.444491
53.882937,132,1770.892004
52.785912,151,1774.039188
-1.828926,300,1776.270525
53.894745,158,1776.762671
-1.316491,300,1777.719216
53.916945,142,1778.202096
2.727022,300,1779.377697
53.650478,143,1780.315856
53.868205,153,1782.426327
-5.072269,300,1784.018079
52.209464,190,1785.169117
54.287977,120,1788.976089
53.788584,137,1789.551686
2.911669,300,1791.143781
-1.204663,300,1794.142184
53.86786,140,1794.890556
-1.730363,300,1796.323714
54.207763,137,1796.989469
54.030361,171,1797.775995
53.47393,208,1798.81827
53.564265,146,1800.948305
