#{"t_start": 1781182046.04244, "env_id": "None"}
r,l,t
1.85408,300,2081.025614
-1.960406,300,2084.05483
-0.819084,300,2087.537441
-2.200981,300,2090.805578
-1.912824,300,2094.473685
-0.991325,300,2098.042995
-1.663235,300,2101.09933
-1.860801,300,2104.109397
-1.4583,300,2107.484554
-5.229222,300,2110.964157
-5.232595,300,2114.456867
-2.630093,300,2117.806631
51.910124,180,2119.801237
-3.125992,300,2125.066078
-1.487472,300,2128.378897
-2.558289,300,2132.052627
-3.623959,300,2135.083605
53.070451,164,2136.886341
-2.283139,300,2140.22473
-1.300921,300,2143.542945
-2.732757,300,2146.915359
-4.456788,300,2149.90585
53.437646,132,2151.359145
-1.685361,300,2154.505152
1.205491,300,2157.529618
-10.562306,300,2160.544591
-2.114567,300,2163.73283
-2.000827,300,2166.814052
-2.491037,300,2169.920091
-1.745426,300,2172.940801
52.338555,223,2175.268726
52.995066,149,2176.837848
-2.099571,300,2179.949463
-6.454231,300,2182.887968
-3.711067,300,2186.222578
-1.406593,300,2189.372247
-0.793012,300,2192.466915
0.550089,300,2195.535156
-14.907157,300,2198.57154
-2.572552,300,2201.778162
-4.311569,300,2205.006386
-1.703346,300,2208.229732
-1.541845,300,2211.691829
-2.037491,300,2215.214126
-1.714259,300,2218.785013
-6.99265,300,2222.236151
53.119088,134,2223.694001
-3.276621,300,2227.211569
53.345355,136,2228.629301
-0.540013,300,2234.261248
-7.729044,300,2237.79629
52.457491,200,2240.121112
1.333216,300,2243.21254
-1.963065,300,2246.555044
0.604688,300,2249.899776
-0.906041,300,2253.338601
-1.903775,300,2256.823926
-8.941525,300,2260.169195
-17.564691,300,2263.418407
52.512738,152,2265.153735
-12.558046,300,2268.654937
-1.57985,300,2271.961009
1.243245,300,2275.302394
1.398668,300,2278.475797
-16.046397,300,2281.65042
-2.009206,300,2284.878927
-13.038205,300,2288.317821
-1.85149,300,2291.585993
53.111672,143,2293.127191
53.177116,132,2294.558042
-6.13214,300,2298.041275
-2.50284,300,2301.345248
-3.014864,300,2304.302469
-3.141334,300,2307.630845
-15.021767,300,2310.809946
-8.648979,300,2314.289416
53.229141,147,2315.814696
-0.981622,300,2319.031925
52.224859,203,2321.432362
-2.980508,300,2325.06705
51.396938,259,2327.837503
-3.534878,300,2330.783001
-0.929672,300,2333.736913
-2.97916,300,2337.09565
-3.628028,300,2340.495734
-0.90521,300,2346.327934
-2.218874,300,2350.014435
-2.437253,300,2353.128192
-3.462809,300,2356.315171
-1.705065,300,2359.526993
-2.514044,300,2362.74507
-1.660149,300,2366.000914
-0.9472,300,2369.051349
52.413502,151,2370.660004
-1.850715,300,2373.752713
-4.691047,300,2376.930612
-1.033851,300,2379.962448
-1.832478,300,2383.214983
-1.444866,300,2386.548605
1.71451,300,2389.873771
0.68648,300,2393.349915
-1.459969,300,2396.837002
52.298108,135,2398.36052
53.268719,134,2399.733013
50.370061,242,2402.070906
-4.096283,300,2405.037358
-2.399382,300,2408.00614
52.833889,138,2409.463906
53.183073,141,2411.044603
-2.233963,300,2414.156919
1.863878,300,2417.215668
-1.279902,300,2420.581878
-1.861987,300,2424.067915
52.243155,158,2425.928746
2.001846,300,2429.608943
-1.924897,300,2433.158367
51.134541,271,2436.251751
52.558402,164,2438.237366
-1.043076,300,2441.725976
-1.910316,300,2445.097098
-1.837328,300,2448.041831
-2.732861,300,2451.104868
52.767258,159,2452.81134
-2.16932,300,2457.904393
-1.767797,300,2461.582092
-1.251531,300,2465.187956
-1.114431,300,2468.702863
-1.676986,300,2472.118765
52.999102,144,2473.667945
-7.398374,300,2476.79545
-0.193196,300,2479.980178
-1.568319,300,2483.258793
-1.873866,300,2486.424202
-1.427394,300,2489.607482
-4.09633,300,2492.772652
-1.545315,300,2495.980441
-1.479136,300,2499.157504
52.651689,139,2500.789257
-1.483342,300,2503.868193
-0.423145,300,2506.891825
51.081444,193,2509.105755
-0.853109,300,2512.609376
-13.543355,300,2516.088444
-2.785961,300,2519.216109
-5.117169,300,2522.218594
53.045574,176,2524.282688
-3.335275,300,2527.623788
-17.709235,300,2530.952319
51.618755,169,2532.867846
53.696357,125,2534.364527
-7.769412,300,2537.891794
-2.866468,300,2541.366654
-3.382605,300,2544.602413
-4.480518,300,2547.630474
-2.45918,300,2550.772569
-13.989383,300,2553.794057
-2.572885,300,2557.047558
-5.687606,300,2560.228302
-1.667002,300,2563.344617
52.477631,161,2566.728255
-7.160434,300,2569.670996
-13.455217,300,2572.712806
-2.763689,300,2575.921903
-1.78434,300,2579.126091
-0.034246,300,2582.418443
0.883212,300,2585.585802
-0.775436,300,2588.685784
0.11509,300,2591.778369
52.929383,131,2593.0888
-13.968862,300,2596.06092
-35.343621,300,2599.078141
-1.345197,300,2602.135343
-23.209549,300,2605.112113
-1.48939,300,2608.300105
-3.179628,300,2611.529515
0.624245,300,2614.543513
-6.733508,300,2617.53752
-17.245215,300,2620.618756
52.682287,187,2622.5451
-27.760363,300,2625.495239
-5.687833,300,2628.45617
-29.223487,300,2631.582419
53.204028,165,2633.457723
53.223177,153,2635.024458
-1.311654,300,2638.073031
-4.725068,300,2641.174346
52.220131,172,2642.980595
-4.94674,300,2646.007199
52.310091,173,2647.690602
-1.982182,300,2650.718223
-3.397785,300,2653.747406
-26.179564,300,2656.734463
-33.38895,300,2659.626966
0.181044,300,2662.583158
-2.025729,300,2665.656756
-1.64269,300,2668.755999
-31.614015,300,2673.399166
-8.560148,300,2676.497557
-26.623207,300,2679.650047
-27.036192,300,2682.62805
-24.117199,300,2685.513272
-12.104817,300,2688.472889
-0.856295,300,2691.805454
-12.41347,300,2694.945562
-4.865234,300,2698.242938
-24.233877,300,2701.245161
-23.228301,300,2704.239106
-1.23338,300,2707.378145
-10.051872,300,2710.499618
-7.75535,300,2713.398357
-14.702975,300,2716.531322
-0.317078,300,2719.678251
-23.986862,300,2722.749553
-4.238437,300,2725.900106
-1.279342,300,2729.069673
-8.426678,300,2732.070492
-10.799233,300,2734.965576
-2.773692,300,2738.024883
-12.507068,300,2741.275278
-2.246714,300,2744.379601
-7.960026,300,2747.427092
51.799977,157,2749.054011
-1.64056,300,2752.263942
-4.346955,300,2755.322948
1.358032,300,2758.354471
-12.152412,300,2761.434192
51.796528,265,2764.324299
-8.523764,300,2767.464421
-14.784466,300,2770.536225
-2.113263,300,2775.580484
-11.138926,300,2778.663472
52.637152,135,2780.099392
-7.001734,300,2783.084173
-2.525715,300,2786.060341
-4.686754,300,2789.19148
-4.524076,300,2792.249304
52.861535,165,2793.898933
-6.770414,300,2796.859491
50.439113,240,2799.452644
-10.409773,300,2802.962493
-3.771725,300,2806.052842
-5.796226,300,2809.132788
-2.557286,300,2812.284024
-1.688322,300,2815.501278
-0.673857,300,2818.606682
-2.929533,300,2821.713437
-2.099378,300,2824.885712
-1.221406,300,2828.092946
-2.326265,300,2831.259172
52.048264,161,2832.898261
-7.201497,300,2835.82939
-1.367333,300,2838.732348
-1.792656,300,2841.666047
-14.810676,300,2844.610098
-6.103852,300,2847.606473
-0.85324,300,2850.560296
-1.21683,300,2853.698439
2.027056,300,2856.747956
-1.863221,300,2859.728505
-2.49822,300,2862.907431
-13.723155,300,2865.823427
-1.952739,300,2868.818659
52.573511,149,2870.426368
-3.47936,300,2873.68968
-0.955688,300,2877.203022
52.474746,163,2880.907571
-1.773535,300,2884.199234
53.409486,169,2885.873042
-2.25673,300,2888.810048
-5.923084,300,2891.91822
-3.591306,300,2895.031745
-1.407847,300,2898.332381
-1.420897,300,2901.790861
-6.979739,300,2905.20746
-2.140502,300,2908.449264
-2.402426,300,2912.25629
-7.281455,300,2916.052107
-8.06403,300,2919.905913
-4.310624,300,2923.52844
-1.217129,300,2927.165237
-5.874158,300,2930.540812
-10.524316,300,2933.966805
-2.390622,300,2937.304504
-1.80306,300,2940.629597
-5.617165,300,2943.845044
-2.652704,300,2947.103542
-2.679481,300,2950.335586
-2.228526,300,2953.953122
-1.976396,300,2957.086043
-1.56924,300,2960.275017
-1.830209,300,2963.654488
-1.328992,300,2967.049324
-2.43765,300,2970.26295
-7.315484,300,2973.560461
-15.569682,300,2976.7532
-1.655506,300,2979.878227
-12.091267,300,2983.050275
52.184422,180,2984.907388
-3.533569,300,2988.196657
-2.424444,300,2991.382051
-1.724524,300,2996.464514
2.59894,300,2999.50265
-2.526019,300,3002.685372
-2.39535,300,3005.790017
-2.269941,300,3008.927035
52.082458,271,3011.704811
-1.604728,300,3014.819848
-1.656454,300,3018.045295
-1.758789,300,3021.226965
53.098924,150,3022.77207
-2.509879,300,3025.963886
-3.594583,300,3029.11327
-2.209044,300,3032.274263
-3.083693,300,3035.478694
-1.634265,300,3038.771243
53.081831,156,3040.472138
-2.095037,300,3043.646463
-3.047415,300,3047.000851
-2.457226,300,3050.42618
-1.623182,300,3053.689448
-2.023318,300,3056.537552
0.455709,300,3059.367459
-1.660032,300,3062.629506
-1.731228,300,3065.6616
-1.324527,300,3068.879012
-4.423625,300,3072.130909
-1.962037,300,3075.219889
-1.646524,300,3078.444726
53.575049,164,3080.260425
-12.389798,300,3083.536085
-1.212346,300,3086.91825
-4.443883,300,3090.130325
-2.923221,300,3093.314188
-5.952509,300,3096.47903
-1.689076,300,3101.381692
53.362833,140,3102.891013
-3.875472,300,3106.201081
-11.487926,300,3109.635488
-3.079219,300,3112.966694
-1.585182,300,3116.339941
-0.322443,300,3119.889376
53.346696,147,3121.629188
-0.874161,300,3125.222257
-1.463515,300,3128.412017
-2.528739,300,3131.567326
-1.619538,300,3134.559981
0.848244,300,3137.777891
-1.052776,300,3141.419269
-2.090144,300,3144.993784
51.332161,165,3146.887361
52.470877,181,3149.109385
-19.517458,300,3152.522772
-14.581171,300,3155.866671
-1.933031,300,3159.098773
53.499115,177,3161.030776
-3.774562,300,3164.268821
-3.164104,300,3167.540666
-4.499245,300,3170.78059
52.358445,143,3172.417713
-1.159183,300,3175.874253
53.365626,134,3177.468003
1.53306,300,3180.704806
